"year","zone","awards","level","stage","measure","value"
"2011-2012","S01001790","5","6 And Above","S6","Count",0
"2009-2010","S01001790","5","5 And Above","S4","Count",0
"2009-2010","S01001790","5","6 And Above","S6","Count",0
"2009-2010","S01001790","5","6 And Above","S5","Count",0
"2012-2013","S01001790","5","6 And Above","S6","Count",0
"2008-2009","S01001790","5","6 And Above","S6","Count",0
"2008-2009","S01001790","3","6 And Above","S5","Count",0
"2011-2012","S01001790","5","6 And Above","S5","Count",0
"2010-2011","S01001790","5","6 And Above","S6","Count",0
"2012-2013","S01001790","5","3 And Above","S4","Count",0
"2012-2013","S01001790","3","6 And Above","S5","Count",0
"2008-2009","S01001790","5","3 And Above","S4","Count",0
"2008-2009","S01001790","5","6 And Above","S5","Count",0
"2008-2009","S01001790","3","6 And Above","S6","Count",0
"2011-2012","S01001790","5","3 And Above","S4","Count",0
"2010-2011","S01001790","5","6 And Above","S5","Count",0
"2010-2011","S01001790","5","3 And Above","S4","Count",0
"2009-2010","S01001790","5","3 And Above","S4","Count",0
"2012-2013","S01001790","5","6 And Above","S5","Count",0
"2012-2013","S01001790","1","6 And Above","S5","Count",0
"2011-2012","S01001790","5","4 And Above","S4","Count",0
"2010-2011","S01001790","3","6 And Above","S6","Count",0
"2010-2011","S01001790","1","6 And Above","S5","Count",0
"2009-2010","S01001790","1","6 And Above","S5","Count",0
"2010-2011","S01001790","1","7 And Above","S6","Count",0
"2011-2012","S01001790","3","6 And Above","S5","Count",0
"2012-2013","S01001790","5","4 And Above","S4","Count",0
"2009-2010","S01001790","1","7 And Above","S6","Count",0
"2008-2009","S01001790","1","6 And Above","S5","Count",0
"2012-2013","S01001790","1","7 And Above","S6","Count",0
"2008-2009","S01001790","5","4 And Above","S4","Count",0
"2008-2009","S01001790","1","7 And Above","S6","Count",0
"2011-2012","S01001790","1","6 And Above","S5","Count",0
"2010-2011","S01001790","5","4 And Above","S4","Count",0
"2011-2012","S01001790","1","7 And Above","S6","Count",0
"2009-2010","S01001790","5","4 And Above","S4","Count",0
"2009-2010","S01001790","3","6 And Above","S6","Count",0
"2012-2013","S01001790","3","6 And Above","S6","Count",0
"2010-2011","S01001790","5","5 And Above","S4","Count",0
"2008-2009","S01001790","5","5 And Above","S4","Count",0
"2011-2012","S01001790","5","5 And Above","S4","Count",0
"2012-2013","S01001790","5","5 And Above","S4","Count",0
"2010-2011","S01001790","3","6 And Above","S5","Count",0
"2009-2010","S01001790","3","6 And Above","S5","Count",0
"2011-2012","S01001790","3","6 And Above","S6","Count",0
"2009-2010","S01001790","3","6 And Above","S6","Ratio",0
"2008-2009","S01001790","3","6 And Above","S5","Ratio",0
"2011-2012","S01001790","3","6 And Above","S5","Ratio",0
"2009-2010","S01001790","3","6 And Above","S5","Ratio",0
"2008-2009","S01001790","3","6 And Above","S6","Ratio",0
"2010-2011","S01001790","3","6 And Above","S6","Ratio",0
"2010-2011","S01001790","3","6 And Above","S5","Ratio",0
"2011-2012","S01001790","3","6 And Above","S6","Ratio",0
"2008-2009","S01001790","5","6 And Above","S6","Ratio",0
"2010-2011","S01001790","5","6 And Above","S5","Ratio",0
"2011-2012","S01001790","5","6 And Above","S5","Ratio",0
"2008-2009","S01001790","5","4 And Above","S4","Ratio",0
"2011-2012","S01001790","5","4 And Above","S4","Ratio",0
"2010-2011","S01001790","5","4 And Above","S4","Ratio",0
"2009-2010","S01001790","5","4 And Above","S4","Ratio",0
"2009-2010","S01001790","5","5 And Above","S4","Ratio",0
"2008-2009","S01001790","5","5 And Above","S4","Ratio",0
"2010-2011","S01001790","5","5 And Above","S4","Ratio",0
"2011-2012","S01001790","5","5 And Above","S4","Ratio",0
"2009-2010","S01001790","5","6 And Above","S5","Ratio",0
"2008-2009","S01001790","5","6 And Above","S5","Ratio",0
"2009-2010","S01001790","5","6 And Above","S6","Ratio",0
"2011-2012","S01001790","5","6 And Above","S6","Ratio",0
"2010-2011","S01001790","5","6 And Above","S6","Ratio",0
"2011-2012","S01001790","5","3 And Above","S4","Ratio",0
"2008-2009","S01001790","5","3 And Above","S4","Ratio",0
"2009-2010","S01001790","5","3 And Above","S4","Ratio",0
"2010-2011","S01001790","5","3 And Above","S4","Ratio",0
"2009-2010","S01001790","1","6 And Above","S5","Ratio",0
"2011-2012","S01001790","1","7 And Above","S6","Ratio",0
"2010-2011","S01001790","1","7 And Above","S6","Ratio",0
"2011-2012","S01001790","1","6 And Above","S5","Ratio",0
"2008-2009","S01001790","1","6 And Above","S5","Ratio",0
"2010-2011","S01001790","1","6 And Above","S5","Ratio",0
"2008-2009","S01001790","1","7 And Above","S6","Ratio",0
"2009-2010","S01001790","1","7 And Above","S6","Ratio",0
"2011-2012","S01001791","5","6 And Above","S6","Count",0
"2009-2010","S01001791","5","5 And Above","S4","Count",0
"2009-2010","S01001791","5","6 And Above","S6","Count",0
"2009-2010","S01001791","5","6 And Above","S5","Count",0
"2012-2013","S01001791","5","6 And Above","S6","Count",0
"2008-2009","S01001791","5","6 And Above","S6","Count",0
"2008-2009","S01001791","3","6 And Above","S5","Count",0
"2011-2012","S01001791","5","6 And Above","S5","Count",0
"2010-2011","S01001791","5","6 And Above","S6","Count",0
"2012-2013","S01001791","5","3 And Above","S4","Count",0
"2012-2013","S01001791","3","6 And Above","S5","Count",0
"2008-2009","S01001791","5","3 And Above","S4","Count",0
"2008-2009","S01001791","5","6 And Above","S5","Count",0
"2008-2009","S01001791","3","6 And Above","S6","Count",0
"2011-2012","S01001791","5","3 And Above","S4","Count",0
"2010-2011","S01001791","5","6 And Above","S5","Count",0
"2010-2011","S01001791","5","3 And Above","S4","Count",0
"2009-2010","S01001791","5","3 And Above","S4","Count",0
"2012-2013","S01001791","5","6 And Above","S5","Count",0
"2012-2013","S01001791","1","6 And Above","S5","Count",0
